Age,Income_Level,Education_Level,Occupation,Purchase_Amount,Frequency_of_Purchase,Brand_Loyalty,Product_Rating,Time_Spent_on_Product_Research(hours),Social_Media_Influence,Discount_Sensitivity,Return_Rate,Customer_Satisfaction,Engagement_with_Ads,Discount_Used,Customer_Loyalty_Program_Member,Time_to_Decision,Purchase_Month,Purchase_Day,Purchase_DayOfWeek,Gender_Agender,Gender_Bigender,Gender_Female,Gender_Genderfluid,Gender_Genderqueer,Gender_Male,Gender_Non-binary,Gender_Polygender,Marital_Status_Divorced,Marital_Status_Married,Marital_Status_Single,Marital_Status_Widowed,Purchase_Category_Animal Feed,Purchase_Category_Arts & Crafts,Purchase_Category_Baby Products,Purchase_Category_Beauty & Personal Care,Purchase_Category_Books,Purchase_Category_Clothing,Purchase_Category_Electronics,Purchase_Category_Food & Beverages,Purchase_Category_Furniture,Purchase_Category_Gardening & Outdoors,Purchase_Category_Groceries,Purchase_Category_Health Care,Purchase_Category_Health Supplements,Purchase_Category_Home Appliances,Purchase_Category_Hotels,Purchase_Category_Jewelry & Accessories,Purchase_Category_Luxury Goods,Purchase_Category_Mobile Accessories,Purchase_Category_Office Supplies,Purchase_Category_Packages),Purchase_Category_Software & Apps,Purchase_Category_Sports & Outdoors,Purchase_Category_Toys & Games,Purchase_Category_Travel & Leisure (Flights,Purchase_Channel_In-Store,Purchase_Channel_Mixed,Purchase_Channel_Online,Device_Used_for_Shopping_Desktop,Device_Used_for_Shopping_Smartphone,Device_Used_for_Shopping_Tablet,Payment_Method_Cash,Payment_Method_Credit Card,Payment_Method_Debit Card,Payment_Method_Other,Payment_Method_PayPal,Shipping_Preference_Express,Shipping_Preference_No Preference,Shipping_Preference_Standard
0.125,0.0,0.5,0.0,0.6324337607792324,0.2,1.0,1.0,1.0,0.0,0.5,0.5,0.6666666666666666,0.0,1.0,0.0,0.07692307692307693,0.18181818181818182,0.0,0.6666666666666666,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
0.96875,1.0,0.0,1.0,0.3831598230642062,0.9,0.5,0.0,1.0,0.6666666666666666,0.0,0.5,0.4444444444444444,1.0,1.0,0.0,0.38461538461538464,0.2727272727272727,0.5,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
0.1875,0.0,1.0,1.0,0.8389035342477996,0.0,1.0,1.0,0.15,0.3333333333333333,0.0,0.5,0.6666666666666666,0.3333333333333333,1.0,1.0,0.15384615384615385,0.18181818181818182,0.4666666666666667,0.6666666666666666,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
0.34375,0.0,1.0,0.0,0.11304231267593048,0.4,0.5,0.0,0.5,1.0,0.5,0.0,0.0,0.0,1.0,1.0,0.6923076923076923,0.8181818181818182,0.1,0.6666666666666666,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
0.46875,0.0,0.0,0.0,0.35965774540905227,0.4,0.5,0.75,0.0,0.6666666666666666,0.0,1.0,1.0,0.0,0.0,0.0,0.23076923076923078,0.0,0.9666666666666667,0.16666666666666666,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
0.84375,0.0,1.0,1.0,0.9768106876368349,0.6,0.5,0.5,0.0,1.0,0.0,1.0,0.2222222222222222,0.0,0.0,0.0,0.46153846153846156,0.18181818181818182,0.6,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
0.09375,0.0,0.0,0.0,0.9733479290469594,1.0,0.25,1.0,0.5,1.0,0.5,0.0,0.8888888888888888,0.3333333333333333,1.0,0.0,0.9230769230769231,0.18181818181818182,0.4666666666666667,0.6666666666666666,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
0.65625,0.0,0.0,0.0,0.3738662258165408,0.4,1.0,0.75,0.5,0.3333333333333333,0.5,1.0,0.8888888888888888,0.0,0.0,1.0,0.9230769230769231,0.18181818181818182,0.5333333333333333,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
0.1875,1.0,1.0,0.0,0.33789821723783564,0.6,0.5,1.0,0.0,0.3333333333333333,1.0,0.5,0.1111111111111111,1.0,0.0,0.0,0.46153846153846156,0.45454545454545453,0.3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.21875,1.0,0.5,1.0,0.8223939949063939,0.5,0.25,1.0,0.5,0.0,0.5,0.5,0.4444444444444444,0.6666666666666666,1.0,0.0,0.9230769230769231,0.8181818181818182,0.2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
